timestamp,symbol,open,high,low,close,volume,trade_count,vwap
2025-01-23 09:30:00-05:00,AAPL,224.74,226.24,224.28,225.125,227896.0,1839.0,225.209232
2025-01-23 10:00:00-05:00,AAPL,225.14,227.01,224.91,225.905,208678.0,1732.0,225.993131
2025-01-23 10:30:00-05:00,AAPL,225.98,226.37,225.12,225.37,84216.0,1099.0,225.812196
2025-01-23 11:00:00-05:00,AAPL,225.295,225.41,224.39,225.16,80624.0,989.0,224.939304
2025-01-23 11:30:00-05:00,AAPL,225.135,225.18,223.81,224.04,63545.0,886.0,224.405313
2025-01-23 12:00:00-05:00,AAPL,224.09,224.16,223.41,223.565,52210.0,867.0,223.762181
2025-01-23 12:30:00-05:00,AAPL,223.52,223.71,223.205,223.705,86251.0,873.0,223.477183
2025-01-23 13:00:00-05:00,AAPL,223.685,223.745,223.45,223.56,53488.0,516.0,223.578561
2025-01-23 13:30:00-05:00,AAPL,223.62,223.63,223.015,223.09,56313.0,818.0,223.294105
2025-01-23 14:00:00-05:00,AAPL,223.075,223.15,222.44,222.835,91439.0,899.0,222.698836
2025-01-23 14:30:00-05:00,AAPL,222.81,222.965,222.59,222.745,84248.0,685.0,222.761797
2025-01-23 15:00:00-05:00,AAPL,222.71,223.155,222.71,222.85,42700.0,730.0,222.90723
2025-01-23 15:30:00-05:00,AAPL,222.84,223.62,222.3,223.57,264835.0,2681.0,222.988285
2025-01-24 09:30:00-05:00,AAPL,225.1,225.615,224.38,224.47,254046.0,1877.0,225.148678
2025-01-24 10:00:00-05:00,AAPL,224.545,224.59,222.56,222.73,154364.0,1522.0,223.294237
2025-01-24 10:30:00-05:00,AAPL,222.735,223.35,222.66,223.07,72953.0,874.0,223.10735
2025-01-24 11:00:00-05:00,AAPL,223.05,223.05,222.38,222.715,78423.0,937.0,222.694571
2025-01-24 11:30:00-05:00,AAPL,222.77,223.49,222.63,222.72,98646.0,1143.0,223.133821
2025-01-24 12:00:00-05:00,AAPL,222.72,223.235,222.14,222.275,64407.0,876.0,222.735947
2025-01-24 12:30:00-05:00,AAPL,222.31,222.72,221.94,222.36,75963.0,822.0,222.389718
2025-01-24 13:00:00-05:00,AAPL,222.4,222.55,222.04,222.14,55089.0,720.0,222.216428
2025-01-24 13:30:00-05:00,AAPL,222.16,222.54,221.95,222.07,53027.0,640.0,222.238693
2025-01-24 14:00:00-05:00,AAPL,222.05,222.395,222.05,222.38,58977.0,750.0,222.248187
